Degree (k),Empirical V*,Theoretical V*,Absolute Diff,Error (%)
4,40.283,10.2277,30.0553,293.86
5,40.2687,6.6768,33.5918,503.11
6,40.1556,4.4737,35.6819,797.59
7,39.8775,3.1081,36.7695,1183.03
8,39.9746,2.2617,37.7129,1667.48
9,39.6568,1.7365,37.9203,2183.66
10,40.0812,1.41,38.6713,2742.69
11,40.1632,1.206,38.9572,3230.36
12,39.8209,1.0776,38.7433,3595.34
13,39.9687,0.9959,38.9728,3913.38
14,40.1795,0.943,39.2365,4160.84
15,39.9635,0.9079,39.0556,4301.6
16,41.294,0.8839,40.4101,4571.62
17,40.162,0.8668,39.2952,4533.13
