topo,seed,agent,indeg,eig,meanV
Scale Free,42,0,20,1.0,24.23
Scale Free,42,1,16,0.8,25.446
Scale Free,42,2,15,0.75,23.806
Scale Free,42,3,17,0.85,25.808
Scale Free,42,4,4,0.2,30.124
Scale Free,42,5,7,0.35,24.736
Scale Free,42,6,3,0.15,30.232
Scale Free,42,7,0,0.0,30.942
Scale Free,42,8,3,0.15,30.268
Scale Free,42,9,4,0.2,30.718
Scale Free,42,10,8,0.4,27.548
Scale Free,42,11,8,0.4,27.074
Scale Free,42,12,2,0.1,30.428
Scale Free,42,13,0,0.0,33.038
Scale Free,42,14,5,0.25,27.798
Scale Free,42,15,8,0.4,26.36
Scale Free,42,16,0,0.0,32.128
Scale Free,42,17,3,0.15,27.584
Scale Free,42,18,3,0.15,30.646
Scale Free,42,19,5,0.25,31.392
Scale Free,42,20,6,0.3,27.518
Scale Free,42,21,2,0.1,32.642
Scale Free,42,22,1,0.05,29.912
Scale Free,42,23,6,0.3,30.404
Scale Free,42,24,4,0.2,28.986
Scale Free,42,25,5,0.25,26.106
Scale Free,42,26,0,0.0,30.164
Scale Free,42,27,1,0.05,34.258
Scale Free,42,28,7,0.35,32.158
Scale Free,42,29,5,0.25,30.03
Scale Free,42,30,2,0.1,31.368
Scale Free,42,31,4,0.2,29.316
Scale Free,42,32,8,0.4,27.448
Scale Free,42,33,4,0.2,28.584
Scale Free,42,34,0,0.0,32.91
Scale Free,42,35,5,0.25,27.624
Scale Free,42,36,3,0.15,29.81
Scale Free,42,37,4,0.2,30.782
Scale Free,42,38,1,0.05,32.966
Scale Free,42,39,4,0.2,28.176
Scale Free,42,40,3,0.15,30.57
Scale Free,42,41,2,0.1,29.724
Scale Free,42,42,2,0.1,30.788
Scale Free,42,43,3,0.15,30.148
Scale Free,42,44,4,0.2,29.036
Scale Free,42,45,0,0.0,27.54
Scale Free,42,46,1,0.05,34.01
Scale Free,42,47,3,0.15,31.266
Scale Free,42,48,0,0.0,34.486
Scale Free,42,49,2,0.1,31.942
Scale Free,42,50,1,0.05,32.42
Scale Free,42,51,3,0.15,32.736
Scale Free,42,52,1,0.05,28.884
Scale Free,42,53,5,0.25,27.932
Scale Free,42,54,1,0.05,31.89
Scale Free,42,55,2,0.1,32.612
Scale Free,42,56,1,0.05,33.208
Scale Free,42,57,3,0.15,30.238
Scale Free,42,58,3,0.15,31.372
Scale Free,42,59,1,0.05,29.588
Scale Free,42,60,3,0.15,31.39
Scale Free,42,61,1,0.05,29.432
Scale Free,42,62,1,0.05,29.168
Scale Free,42,63,1,0.05,29.65
Scale Free,42,64,3,0.15,31.214
Scale Free,42,65,2,0.1,29.07
Scale Free,42,66,4,0.2,29.146
Scale Free,42,67,1,0.05,32.998
Scale Free,42,68,4,0.2,31.948
Scale Free,42,69,1,0.05,33.63
Scale Free,42,70,3,0.15,30.058
Scale Free,42,71,1,0.05,31.29
Scale Free,42,72,2,0.1,31.792
Scale Free,42,73,4,0.2,28.054
Scale Free,42,74,4,0.2,27.102
Scale Free,42,75,1,0.05,29.442
Scale Free,42,76,1,0.05,29.84
Scale Free,42,77,2,0.1,33.22
Scale Free,42,78,4,0.2,29.684
Scale Free,42,79,1,0.05,31.026
Scale Free,43,0,12,0.5714,25.478
Scale Free,43,1,19,0.9048,23.036
Scale Free,43,2,21,1.0,25.464
Scale Free,43,3,16,0.7619,25.61
Scale Free,43,4,4,0.1905,27.636
Scale Free,43,5,11,0.5238,26.44
Scale Free,43,6,5,0.2381,27.38
Scale Free,43,7,3,0.1429,30.436
Scale Free,43,8,3,0.1429,28.068
Scale Free,43,9,0,0.0,27.71
Scale Free,43,10,5,0.2381,29.334
Scale Free,43,11,8,0.381,27.734
Scale Free,43,12,2,0.0952,29.864
Scale Free,43,13,7,0.3333,27.104
