topo,seed,agent,indeg,meanV
Scale Free,42,0,20,28.836
Scale Free,42,1,16,29.094
Scale Free,42,2,15,29.518
Scale Free,42,3,17,28.738
Scale Free,42,4,4,31.248
Scale Free,42,5,7,29.266
Scale Free,42,6,3,30.054
Scale Free,42,7,0,37.138
Scale Free,42,8,3,31.498
Scale Free,42,9,4,28.63
Scale Free,42,10,8,28.702
Scale Free,42,11,8,30.794
Scale Free,42,12,2,31.374
Scale Free,42,13,0,37.79
Scale Free,42,14,5,30.206
Scale Free,42,15,8,27.686
Scale Free,42,16,0,32.424
Scale Free,42,17,3,29.23
Scale Free,42,18,3,28.578
Scale Free,42,19,5,29.188
Scale Free,42,20,6,28.472
Scale Free,42,21,2,32.44
Scale Free,42,22,1,31.022
Scale Free,42,23,6,28.404
Scale Free,42,24,4,29.978
Scale Free,42,25,5,29.5
Scale Free,42,26,0,34.56
Scale Free,42,27,1,31.156
Scale Free,42,28,7,29.876
Scale Free,42,29,5,29.32
Scale Free,42,30,2,30.656
Scale Free,42,31,4,29.142
Scale Free,42,32,8,27.998
Scale Free,42,33,4,29.736
Scale Free,42,34,0,38.152
Scale Free,42,35,5,28.8
Scale Free,42,36,3,30.318
Scale Free,42,37,4,30.132
Scale Free,42,38,1,29.854
Scale Free,42,39,4,28.694
Scale Free,42,40,3,29.238
Scale Free,42,41,2,30.482
Scale Free,42,42,2,32.75
Scale Free,42,43,3,30.616
Scale Free,42,44,4,29.026
Scale Free,42,45,0,33.73
Scale Free,42,46,1,32.834
Scale Free,42,47,3,28.568
Scale Free,42,48,0,32.732
Scale Free,42,49,2,30.772
Scale Free,42,50,1,32.286
Scale Free,42,51,3,33.642
Scale Free,42,52,1,33.442
Scale Free,42,53,5,28.908
Scale Free,42,54,1,32.868
Scale Free,42,55,2,30.212
Scale Free,42,56,1,31.022
Scale Free,42,57,3,29.812
Scale Free,42,58,3,32.212
Scale Free,42,59,1,29.414
Scale Free,42,60,3,30.796
Scale Free,42,61,1,30.886
Scale Free,42,62,1,30.756
Scale Free,42,63,1,31.96
Scale Free,42,64,3,30.202
Scale Free,42,65,2,31.032
Scale Free,42,66,4,28.226
Scale Free,42,67,1,31.854
Scale Free,42,68,4,30.088
Scale Free,42,69,1,32.552
Scale Free,42,70,3,28.43
Scale Free,42,71,1,31.08
Scale Free,42,72,2,30.76
Scale Free,42,73,4,29.156
Scale Free,42,74,4,27.886
Scale Free,42,75,1,31.902
Scale Free,42,76,1,29.64
Scale Free,42,77,2,30.528
Scale Free,42,78,4,29.286
Scale Free,42,79,1,31.834
Scale Free,43,0,12,30.272
Scale Free,43,1,19,30.176
Scale Free,43,2,21,30.38
Scale Free,43,3,16,29.996
Scale Free,43,4,4,32.486
Scale Free,43,5,11,29.328
Scale Free,43,6,5,31.042
Scale Free,43,7,3,32.082
Scale Free,43,8,3,31.824
Scale Free,43,9,0,30.308
Scale Free,43,10,5,30.812
Scale Free,43,11,8,31.146
Scale Free,43,12,2,31.052
Scale Free,43,13,7,30.954
Scale Free,43,14,5,30.522
Scale Free,43,15,6,30.52
Scale Free,43,16,0,36.932
Scale Free,43,17,11,31.2
Scale Free,43,18,6,31.456
Scale Free,43,19,0,37.344
Scale Free,43,20,4,30.57
Scale Free,43,21,8,28.54
Scale Free,43,22,0,35.97
Scale Free,43,23,8,30.37
Scale Free,43,24,3,30.484
Scale Free,43,25,0,28.178
Scale Free,43,26,7,30.918
Scale Free,43,27,0,35.146
Scale Free,43,28,2,31.07
Scale Free,43,29,2,31.16
Scale Free,43,30,5,30.98
Scale Free,43,31,2,32.44
Scale Free,43,32,5,31.706
Scale Free,43,33,1,30.878
Scale Free,43,34,4,32.612
Scale Free,43,35,6,31.318
Scale Free,43,36,3,30.674
Scale Free,43,37,1,31.842
Scale Free,43,38,2,32.346
Scale Free,43,39,4,31.368
Scale Free,43,40,1,32.48
Scale Free,43,41,2,33.152
Scale Free,43,42,3,32.536
Scale Free,43,43,3,30.006
Scale Free,43,44,1,31.16
Scale Free,43,45,3,30.54
Scale Free,43,46,1,34.726
Scale Free,43,47,7,30.994
Scale Free,43,48,3,32.21
Scale Free,43,49,2,31.878
Scale Free,43,50,1,31.64
Scale Free,43,51,0,37.838
Scale Free,43,52,1,33.426
Scale Free,43,53,2,32.844
Scale Free,43,54,3,32.352
Scale Free,43,55,1,31.878
Scale Free,43,56,4,32.59
Scale Free,43,57,1,33.196
Scale Free,43,58,0,35.844
Scale Free,43,59,3,30.76
Scale Free,43,60,2,32.976
Scale Free,43,61,2,31.952
Scale Free,43,62,1,30.582
Scale Free,43,63,0,31.358
Scale Free,43,64,1,31.068
Scale Free,43,65,1,33.38
Scale Free,43,66,1,33.03
Scale Free,43,67,1,34.328
Scale Free,43,68,5,33.01
Scale Free,43,69,1,30.482
Scale Free,43,70,1,31.202
Scale Free,43,71,2,32.878
Scale Free,43,72,2,32.35
Scale Free,43,73,3,31.264
Scale Free,43,74,3,32.18
Scale Free,43,75,2,32.502
Scale Free,43,76,4,31.754
Scale Free,43,77,1,31.782
Scale Free,43,78,2,32.962
Scale Free,43,79,3,31.144
Scale Free,44,0,30,28.24
Scale Free,44,1,10,28.134
Scale Free,44,2,14,28.192
Scale Free,44,3,11,28.19
Scale Free,44,4,12,28.612
Scale Free,44,5,1,30.75
Scale Free,44,6,3,28.554
Scale Free,44,7,14,29.116
Scale Free,44,8,5,28.322
Scale Free,44,9,10,30.13
Scale Free,44,10,9,29.014
Scale Free,44,11,0,36.028
Scale Free,44,12,4,30.12
Scale Free,44,13,1,27.346
Scale Free,44,14,4,27.788
Scale Free,44,15,5,29.312
Scale Free,44,16,5,28.022
Scale Free,44,17,5,27.878
Scale Free,44,18,1,30.77
Scale Free,44,19,4,32.21
Scale Free,44,20,1,27.06
Scale Free,44,21,4,30.706
Scale Free,44,22,7,27.486
Scale Free,44,23,6,28.524
Scale Free,44,24,0,43.46
Scale Free,44,25,3,27.532
Scale Free,44,26,8,28.366
Scale Free,44,27,4,30.24
Scale Free,44,28,4,31.48
Scale Free,44,29,0,35.06
Scale Free,44,30,2,30.114
Scale Free,44,31,0,30.696
Scale Free,44,32,3,31.076
Scale Free,44,33,2,31.184
Scale Free,44,34,4,29.898
Scale Free,44,35,1,29.8
Scale Free,44,36,1,31.248
Scale Free,44,37,4,29.998
Scale Free,44,38,6,29.734
Scale Free,44,39,2,28.14
Scale Free,44,40,1,32.108
Scale Free,44,41,1,34.89
Scale Free,44,42,2,28.382
Scale Free,44,43,0,34.868
Scale Free,44,44,0,35.798
Scale Free,44,45,4,29.038
Scale Free,44,46,1,31.144
Scale Free,44,47,3,27.756
Scale Free,44,48,1,33.846
Scale Free,44,49,0,33.346
Scale Free,44,50,6,29.944
Scale Free,44,51,2,28.5
Scale Free,44,52,2,29.042
Scale Free,44,53,3,29.89
Scale Free,44,54,2,30.79
Scale Free,44,55,0,37.776
Scale Free,44,56,2,29.324
Scale Free,44,57,1,31.876
Scale Free,44,58,1,30.022
Scale Free,44,59,2,29.024
Scale Free,44,60,3,29.614
Scale Free,44,61,1,31.208
Scale Free,44,62,2,31.046
Scale Free,44,63,2,29.138
Scale Free,44,64,0,38.52
Scale Free,44,65,1,30.222
Scale Free,44,66,1,30.87
Scale Free,44,67,3,30.768
Scale Free,44,68,3,29.566
Scale Free,44,69,1,30.808
Scale Free,44,70,1,30.066
Scale Free,44,71,2,30.268
Scale Free,44,72,2,31.07
Scale Free,44,73,6,30.486
Scale Free,44,74,2,29.82
Scale Free,44,75,3,30.858
Scale Free,44,76,4,30.554
Scale Free,44,77,2,30.03
Scale Free,44,78,1,28.986
Scale Free,44,79,2,30.034
Scale Free,45,0,24,30.972
Scale Free,45,1,15,31.504
Scale Free,45,2,9,31.792
Scale Free,45,3,14,31.974
Scale Free,45,4,4,31.366
Scale Free,45,5,4,33.082
Scale Free,45,6,0,36.306
Scale Free,45,7,6,31.986
Scale Free,45,8,9,29.438
Scale Free,45,9,9,31.69
Scale Free,45,10,5,30.15
Scale Free,45,11,11,31.198
Scale Free,45,12,0,31.63
Scale Free,45,13,0,33.12
Scale Free,45,14,8,31.636
Scale Free,45,15,6,29.804
Scale Free,45,16,4,30.59
Scale Free,45,17,5,33.56
Scale Free,45,18,1,32.976
Scale Free,45,19,3,33.088
Scale Free,45,20,6,33.658
Scale Free,45,21,3,32.472
Scale Free,45,22,6,30.238
Scale Free,45,23,5,33.912
Scale Free,45,24,1,31.618
Scale Free,45,25,12,31.218
Scale Free,45,26,5,31.55
Scale Free,45,27,2,32.804
Scale Free,45,28,1,33.21
Scale Free,45,29,5,31.56
Scale Free,45,30,3,31.976
Scale Free,45,31,3,32.116
Scale Free,45,32,5,31.324
Scale Free,45,33,1,32.358
Scale Free,45,34,1,32.582
Scale Free,45,35,6,33.474
Scale Free,45,36,2,32.418
Scale Free,45,37,0,35.484
Scale Free,45,38,2,31.588
Scale Free,45,39,5,31.018
Scale Free,45,40,1,30.906
Scale Free,45,41,4,31.726
Scale Free,45,42,4,31.73
Scale Free,45,43,1,33.276
Scale Free,45,44,5,31.18
Scale Free,45,45,5,31.216
Scale Free,45,46,1,30.744
Scale Free,45,47,0,32.506
Scale Free,45,48,4,31.906
Scale Free,45,49,1,33.264
Scale Free,45,50,4,31.906
Scale Free,45,51,2,33.072
Scale Free,45,52,1,34.922
Scale Free,45,53,3,32.696
Scale Free,45,54,0,31.308
Scale Free,45,55,0,36.572
Scale Free,45,56,2,33.418
Scale Free,45,57,1,32.184
Scale Free,45,58,1,31.908
Scale Free,45,59,1,32.918
Scale Free,45,60,1,34.016
Scale Free,45,61,3,32.766
Scale Free,45,62,0,34.338
Scale Free,45,63,2,33.112
Scale Free,45,64,2,31.56
Scale Free,45,65,3,32.854
Scale Free,45,66,1,32.574
Scale Free,45,67,0,33.448
Scale Free,45,68,1,34.822
Scale Free,45,69,3,31.048
Scale Free,45,70,1,32.006
Scale Free,45,71,1,32.952
Scale Free,45,72,3,32.268
Scale Free,45,73,3,32.132
Scale Free,45,74,4,32.802
Scale Free,45,75,1,31.036
Scale Free,45,76,0,31.988
Scale Free,45,77,1,32.49
Scale Free,45,78,2,31.894
Scale Free,45,79,2,33.222
Scale Free,46,0,21,27.422
Scale Free,46,1,21,27.32
Scale Free,46,2,12,27.732
Scale Free,46,3,16,28.164
Scale Free,46,4,3,30.602
Scale Free,46,5,5,27.2
Scale Free,46,6,3,31.97
Scale Free,46,7,6,29.46
Scale Free,46,8,7,27.68
Scale Free,46,9,6,28.074
Scale Free,46,10,3,29.378
Scale Free,46,11,10,29.594
Scale Free,46,12,3,30.336
Scale Free,46,13,10,30.26
Scale Free,46,14,0,30.77
Scale Free,46,15,3,27.42
Scale Free,46,16,5,27.47
Scale Free,46,17,3,29.26
Scale Free,46,18,3,29.38
Scale Free,46,19,2,30.38
Scale Free,46,20,6,28.842
Scale Free,46,21,9,28.866
Scale Free,46,22,10,28.692
Scale Free,46,23,6,27.834
Scale Free,46,24,3,30.036
Scale Free,46,25,2,30.86
Scale Free,46,26,3,31.31
Scale Free,46,27,0,31.46
Scale Free,46,28,1,29.97
Scale Free,46,29,1,31.644
Scale Free,46,30,6,28.542
Scale Free,46,31,3,30.512
Scale Free,46,32,1,30.42
Scale Free,46,33,8,31.026
Scale Free,46,34,4,27.134
Scale Free,46,35,3,28.992
Scale Free,46,36,5,30.156
Scale Free,46,37,0,35.796
Scale Free,46,38,1,30.936
Scale Free,46,39,3,31.11
Scale Free,46,40,3,31.074
Scale Free,46,41,2,32.894
Scale Free,46,42,0,38.334
Scale Free,46,43,7,28.606
Scale Free,46,44,2,29.272
Scale Free,46,45,4,29.628
Scale Free,46,46,1,32.066
Scale Free,46,47,0,33.428
Scale Free,46,48,1,27.1
Scale Free,46,49,4,26.67
Scale Free,46,50,3,28.748
Scale Free,46,51,3,30.192
Scale Free,46,52,2,28.498
Scale Free,46,53,0,31.356
Scale Free,46,54,1,31.934
Scale Free,46,55,3,31.072
Scale Free,46,56,0,34.922
Scale Free,46,57,0,33.478
Scale Free,46,58,2,29.988
Scale Free,46,59,4,28.748
Scale Free,46,60,3,28.298
Scale Free,46,61,2,28.896
Scale Free,46,62,4,30.558
Scale Free,46,63,1,32.15
Scale Free,46,64,2,32.204
Scale Free,46,65,2,30.33
Scale Free,46,66,3,29.128
Scale Free,46,67,2,30.552
Scale Free,46,68,3,27.52
Scale Free,46,69,2,30.418
Scale Free,46,70,1,33.684
Scale Free,46,71,3,29.364
Scale Free,46,72,1,30.846
Scale Free,46,73,3,29.906
Scale Free,46,74,1,30.664
Scale Free,46,75,1,31.064
Scale Free,46,76,1,30.928
Scale Free,46,77,1,32.078
Scale Free,46,78,0,39.452
Scale Free,46,79,1,32.764
Scale Free,47,0,15,28.918
Scale Free,47,1,24,27.452
Scale Free,47,2,19,28.586
Scale Free,47,3,17,28.19
Scale Free,47,4,2,27.902
Scale Free,47,5,0,39.614
Scale Free,47,6,0,35.6
Scale Free,47,7,6,30.426
Scale Free,47,8,7,28.786
Scale Free,47,9,3,28.868
Scale Free,47,10,2,30.894
Scale Free,47,11,3,30.472
Scale Free,47,12,4,28.562
Scale Free,47,13,7,29.326
Scale Free,47,14,5,28.518
Scale Free,47,15,5,29.514
Scale Free,47,16,0,34.172
Scale Free,47,17,2,30.566
Scale Free,47,18,5,28.404
Scale Free,47,19,6,27.612
Scale Free,47,20,3,31.366
Scale Free,47,21,4,28.976
Scale Free,47,22,5,27.344
Scale Free,47,23,3,29.92
Scale Free,47,24,10,28.276
Scale Free,47,25,1,31.774
Scale Free,47,26,0,34.652
Scale Free,47,27,2,31.378
Scale Free,47,28,0,31.706
Scale Free,47,29,3,30.042
Scale Free,47,30,0,32.692
Scale Free,47,31,2,30.288
Scale Free,47,32,7,29.186
Scale Free,47,33,5,27.764
Scale Free,47,34,4,28.316
Scale Free,47,35,4,29.444
Scale Free,47,36,2,27.806
Scale Free,47,37,0,32.956
Scale Free,47,38,3,30.406
Scale Free,47,39,1,30.368
Scale Free,47,40,4,27.604
Scale Free,47,41,2,30.042
Scale Free,47,42,5,27.56
Scale Free,47,43,5,30.748
Scale Free,47,44,3,31.202
Scale Free,47,45,2,28.85
Scale Free,47,46,3,29.158
Scale Free,47,47,3,29.75
Scale Free,47,48,5,28.952
Scale Free,47,49,1,29.25
Scale Free,47,50,3,29.216
Scale Free,47,51,4,28.47
Scale Free,47,52,6,28.89
Scale Free,47,53,2,30.196
Scale Free,47,54,1,27.836
Scale Free,47,55,2,30.366
Scale Free,47,56,2,30.25
Scale Free,47,57,0,33.89
Scale Free,47,58,2,31.254
Scale Free,47,59,3,30.3
Scale Free,47,60,2,28.952
Scale Free,47,61,2,29.216
Scale Free,47,62,1,29.308
Scale Free,47,63,2,29.846
Scale Free,47,64,3,29.118
Scale Free,47,65,1,28.478
Scale Free,47,66,2,31.484
Scale Free,47,67,3,32.608
Scale Free,47,68,0,31.744
Scale Free,47,69,1,30.408
Scale Free,47,70,1,27.85
Scale Free,47,71,2,28.918
Scale Free,47,72,4,29.834
Scale Free,47,73,2,29.162
Scale Free,47,74,1,29.87
Scale Free,47,75,2,31.006
Scale Free,47,76,2,30.662
Scale Free,47,77,2,28.09
Scale Free,47,78,2,29.352
Scale Free,47,79,2,30.762
Scale Free,48,0,8,31.662
Scale Free,48,1,16,32.938
Scale Free,48,2,16,30.998
Scale Free,48,3,16,31.576
Scale Free,48,4,0,36.668
Scale Free,48,5,6,33.3
Scale Free,48,6,1,31.96
Scale Free,48,7,8,32.472
Scale Free,48,8,1,33.278
Scale Free,48,9,1,31.636
Scale Free,48,10,3,32.854
Scale Free,48,11,4,30.22
Scale Free,48,12,2,33.008
Scale Free,48,13,2,33.564
Scale Free,48,14,11,32.022
Scale Free,48,15,4,32.398
Scale Free,48,16,8,31.022
Scale Free,48,17,6,32.98
Scale Free,48,18,6,32.956
Scale Free,48,19,0,33.11
Scale Free,48,20,5,33.244
Scale Free,48,21,0,33.802
Scale Free,48,22,8,30.894
Scale Free,48,23,5,34.352
Scale Free,48,24,3,33.042
Scale Free,48,25,8,31.324
Scale Free,48,26,1,33.024
Scale Free,48,27,3,35.424
Scale Free,48,28,1,34.198
Scale Free,48,29,3,32.586
Scale Free,48,30,4,31.128
Scale Free,48,31,2,34.436
Scale Free,48,32,3,33.776
Scale Free,48,33,3,32.924
Scale Free,48,34,4,33.824
Scale Free,48,35,4,30.956
Scale Free,48,36,3,33.462
Scale Free,48,37,1,31.818
Scale Free,48,38,3,33.94
Scale Free,48,39,1,36.014
Scale Free,48,40,2,32.75
Scale Free,48,41,1,34.264
Scale Free,48,42,2,31.902
Scale Free,48,43,2,34.036
Scale Free,48,44,5,31.286
Scale Free,48,45,4,32.88
Scale Free,48,46,5,31.0
Scale Free,48,47,1,32.052
Scale Free,48,48,4,31.212
Scale Free,48,49,2,32.106
Scale Free,48,50,2,32.926
Scale Free,48,51,2,31.104
Scale Free,48,52,2,33.572
Scale Free,48,53,4,32.558
Scale Free,48,54,5,30.57
Scale Free,48,55,5,32.634
Scale Free,48,56,2,33.438
Scale Free,48,57,3,31.92
Scale Free,48,58,3,32.682
Scale Free,48,59,7,32.666
Scale Free,48,60,3,32.464
Scale Free,48,61,4,34.632
Scale Free,48,62,1,31.258
Scale Free,48,63,4,32.998
Scale Free,48,64,1,36.526
Scale Free,48,65,3,32.114
Scale Free,48,66,1,33.172
Scale Free,48,67,2,31.966
Scale Free,48,68,2,34.1
Scale Free,48,69,4,31.506
Scale Free,48,70,3,33.456
Scale Free,48,71,2,31.228
Scale Free,48,72,2,33.622
Scale Free,48,73,2,32.596
Scale Free,48,74,2,30.204
Scale Free,48,75,1,33.846
Scale Free,48,76,3,32.648
Scale Free,48,77,2,31.794
Scale Free,48,78,2,34.37
Scale Free,48,79,1,32.628
Scale Free,49,0,10,30.252
Scale Free,49,1,10,30.166
Scale Free,49,2,10,30.318
Scale Free,49,3,10,31.172
Scale Free,49,4,1,29.454
Scale Free,49,5,14,30.284
Scale Free,49,6,13,29.68
Scale Free,49,7,10,30.368
Scale Free,49,8,9,29.602
Scale Free,49,9,2,31.53
Scale Free,49,10,7,29.684
Scale Free,49,11,5,31.22
Scale Free,49,12,2,31.226
Scale Free,49,13,9,30.472
Scale Free,49,14,1,32.826
Scale Free,49,15,0,31.988
Scale Free,49,16,11,30.728
Scale Free,49,17,2,33.254
Scale Free,49,18,5,30.696
Scale Free,49,19,2,29.758
Scale Free,49,20,0,31.85
Scale Free,49,21,8,30.234
Scale Free,49,22,9,29.614
Scale Free,49,23,3,31.544
Scale Free,49,24,2,29.0
Scale Free,49,25,2,31.344
Scale Free,49,26,4,28.27
Scale Free,49,27,1,32.446
Scale Free,49,28,6,30.734
Scale Free,49,29,1,31.71
Scale Free,49,30,5,29.902
Scale Free,49,31,4,29.886
Scale Free,49,32,3,28.226
Scale Free,49,33,2,30.47
Scale Free,49,34,1,31.396
Scale Free,49,35,2,32.156
Scale Free,49,36,4,29.412
Scale Free,49,37,3,31.318
Scale Free,49,38,2,30.84
Scale Free,49,39,2,32.004
Scale Free,49,40,1,32.528
Scale Free,49,41,2,30.348
Scale Free,49,42,1,31.14
Scale Free,49,43,6,32.066
Scale Free,49,44,3,30.308
Scale Free,49,45,6,32.048
Scale Free,49,46,2,30.834
Scale Free,49,47,4,31.502
