network,indeg,meanV
uniform 1-10,1,30.21
uniform 1-10,2,30.146
uniform 1-10,3,28.924
uniform 1-10,4,29.66
uniform 1-10,5,28.338
uniform 1-10,6,31.342
uniform 1-10,7,28.59
uniform 1-10,8,27.564
uniform 1-10,9,28.378
uniform 1-10,10,27.442
uniform 1-10,1,31.496
uniform 1-10,2,32.592
uniform 1-10,3,28.35
uniform 1-10,4,30.764
uniform 1-10,5,29.374
uniform 1-10,6,28.332
uniform 1-10,7,27.406
uniform 1-10,8,26.118
uniform 1-10,9,26.934
uniform 1-10,10,27.868
uniform 1-10,1,30.554
uniform 1-10,2,34.958
uniform 1-10,3,30.854
uniform 1-10,4,29.534
uniform 1-10,5,27.668
uniform 1-10,6,30.34
uniform 1-10,7,30.08
uniform 1-10,8,27.09
uniform 1-10,9,28.326
uniform 1-10,10,28.064
uniform 1-10,1,31.144
uniform 1-10,2,31.0
uniform 1-10,3,31.232
uniform 1-10,4,27.646
uniform 1-10,5,28.078
uniform 1-10,6,28.19
uniform 1-10,7,27.572
uniform 1-10,8,24.974
uniform 1-10,9,26.57
uniform 1-10,10,25.858
uniform 1-10,1,35.522
uniform 1-10,2,28.458
uniform 1-10,3,33.34
uniform 1-10,4,29.756
uniform 1-10,5,27.186
uniform 1-10,6,28.6
uniform 1-10,7,29.59
uniform 1-10,8,26.238
uniform 1-10,9,26.012
uniform 1-10,10,25.486
uniform 1-10,1,30.504
uniform 1-10,2,33.14
uniform 1-10,3,30.07
uniform 1-10,4,29.06
uniform 1-10,5,29.964
uniform 1-10,6,25.39
uniform 1-10,7,29.556
uniform 1-10,8,28.284
uniform 1-10,9,27.662
uniform 1-10,10,30.08
uniform 1-10,1,33.81
uniform 1-10,2,30.7
uniform 1-10,3,29.332
uniform 1-10,4,31.456
uniform 1-10,5,27.056
uniform 1-10,6,29.61
uniform 1-10,7,28.81
uniform 1-10,8,28.834
uniform 1-10,9,26.724
uniform 1-10,10,25.416
uniform 1-10,1,29.802
uniform 1-10,2,28.532
uniform 1-10,3,26.256
uniform 1-10,4,30.212
uniform 1-10,5,28.884
uniform 1-10,6,28.558
uniform 1-10,7,30.358
uniform 1-10,8,26.566
uniform 1-10,9,29.086
uniform 1-10,10,25.712
uniform 1-10,1,34.114
uniform 1-10,2,32.082
uniform 1-10,3,32.258
uniform 1-10,4,27.862
uniform 1-10,5,30.752
uniform 1-10,6,31.362
uniform 1-10,7,30.986
uniform 1-10,8,27.666
uniform 1-10,9,27.928
uniform 1-10,10,26.014
uniform 1-10,1,31.43
uniform 1-10,2,28.614
uniform 1-10,3,30.774
uniform 1-10,4,27.64
uniform 1-10,5,28.41
uniform 1-10,6,27.8
uniform 1-10,7,29.552
uniform 1-10,8,27.222
uniform 1-10,9,27.282
uniform 1-10,10,29.144
uniform 1-10,1,35.262
uniform 1-10,2,30.746
uniform 1-10,3,29.406
uniform 1-10,4,31.896
uniform 1-10,5,29.666
uniform 1-10,6,30.52
uniform 1-10,7,30.184
uniform 1-10,8,26.79
uniform 1-10,9,28.466
uniform 1-10,10,28.958
uniform 1-10,1,28.75
uniform 1-10,2,32.33
uniform 1-10,3,30.758
uniform 1-10,4,31.758
uniform 1-10,5,27.43
uniform 1-10,6,28.994
uniform 1-10,7,28.334
uniform 1-10,8,29.628
uniform 1-10,9,30.178
uniform 1-10,10,29.294
uniform 1-10,1,30.152
uniform 1-10,2,33.93
uniform 1-10,3,28.768
uniform 1-10,4,31.47
uniform 1-10,5,29.45
uniform 1-10,6,29.074
uniform 1-10,7,26.524
uniform 1-10,8,28.176
uniform 1-10,9,27.684
uniform 1-10,10,27.57
uniform 1-10,1,29.232
uniform 1-10,2,31.334
uniform 1-10,3,27.834
uniform 1-10,4,33.904
uniform 1-10,5,30.058
uniform 1-10,6,25.396
uniform 1-10,7,28.602
uniform 1-10,8,27.192
uniform 1-10,9,28.666
uniform 1-10,10,29.856
uniform 1-10,1,28.656
uniform 1-10,2,30.19
uniform 1-10,3,29.164
uniform 1-10,4,29.312
uniform 1-10,5,29.51
uniform 1-10,6,29.09
uniform 1-10,7,28.866
uniform 1-10,8,28.664
uniform 1-10,9,28.086
uniform 1-10,10,27.324
uniform 1-10,1,34.886
uniform 1-10,2,29.484
uniform 1-10,3,30.422
uniform 1-10,4,27.894
uniform 1-10,5,30.28
uniform 1-10,6,27.644
uniform 1-10,7,26.814
uniform 1-10,8,30.04
uniform 1-10,9,28.632
uniform 1-10,10,29.058
uniform 1-10,1,29.96
uniform 1-10,2,28.768
uniform 1-10,3,30.258
uniform 1-10,4,29.348
uniform 1-10,5,28.526
uniform 1-10,6,29.538
uniform 1-10,7,29.742
uniform 1-10,8,26.516
uniform 1-10,9,27.598
uniform 1-10,10,26.554
uniform 1-10,1,30.278
uniform 1-10,2,31.596
uniform 1-10,3,30.118
uniform 1-10,4,32.434
uniform 1-10,5,29.22
uniform 1-10,6,27.908
uniform 1-10,7,27.178
uniform 1-10,8,28.104
uniform 1-10,9,30.802
uniform 1-10,10,27.412
