condition,indeg,meanV
recency + learning by testing,1,34.046
recency + learning by testing,1,31.704
recency + learning by testing,2,32.754
recency + learning by testing,3,31.04
recency + learning by testing,4,34.21
recency + learning by testing,5,32.02
recency + learning by testing,6,30.626
recency + learning by testing,7,32.906
recency + learning by testing,8,31.596
recency + learning by testing,9,30.412
recency + learning by testing,10,32.756
recency + learning by testing,11,29.822
recency + learning by testing,12,31.436
recency + learning by testing,13,31.014
recency + learning by testing,14,27.504
recency + learning by testing,15,29.264
recency + learning by testing,16,31.916
recency + learning by testing,17,27.682
recency + learning by testing,18,31.352
recency + learning by testing,19,28.638
recency + learning by testing,20,29.002
recency + learning by testing,21,29.52
recency + learning by testing,22,31.36
recency + learning by testing,23,32.044
recency + learning by testing,24,31.184
recency + learning by testing,25,30.482
recency + learning by testing,26,28.98
recency + learning by testing,27,30.012
recency + learning by testing,28,30.954
recency + learning by testing,29,28.978
recency + learning by testing,30,30.548
recency + learning by testing,31,32.776
recency + learning by testing,32,31.212
recency + learning by testing,33,30.278
recency + learning by testing,34,32.056
recency + learning by testing,35,31.17
recency + learning by testing,36,31.002
recency + learning by testing,37,30.154
recency + learning by testing,38,28.866
recency + learning by testing,39,31.294
recency + learning by testing,40,32.598
recency + learning by testing,41,28.998
recency + learning by testing,42,30.036
recency + learning by testing,43,30.732
recency + learning by testing,44,34.474
recency + learning by testing,45,32.38
recency + learning by testing,46,29.918
recency + learning by testing,47,29.126
recency + learning by testing,48,27.28
recency + learning by testing,49,29.226
recency + learning by testing,50,28.196
recency + learning by testing,51,30.158
recency + learning by testing,52,28.474
recency + learning by testing,53,32.362
recency + learning by testing,54,28.792
recency + learning by testing,55,31.798
recency + learning by testing,56,30.738
recency + learning by testing,57,30.842
recency + learning by testing,58,29.38
recency + learning by testing,59,28.054
recency + learning by testing,60,29.294
recency + learning by testing,61,29.304
recency + learning by testing,62,28.696
recency + learning by testing,63,29.496
recency + learning by testing,64,28.82
recency + learning by testing,65,26.858
recency + learning by testing,66,31.816
recency + learning by testing,67,30.648
recency + learning by testing,68,29.03
recency + learning by testing,69,29.12
recency + learning by testing,70,28.018
recency + learning by testing,71,28.02
recency + learning by testing,72,30.852
recency + learning by testing,73,30.776
recency + learning by testing,74,29.348
recency + learning by testing,75,29.926
recency + learning by testing,76,29.332
recency + learning by testing,77,32.276
recency + learning by testing,78,29.12
recency + learning by testing,79,30.09
recency + learning by testing,80,28.376
recency + learning by testing,81,28.67
recency + learning by testing,82,30.652
recency + learning by testing,83,27.996
recency + learning by testing,84,31.348
recency + learning by testing,85,27.872
recency + learning by testing,86,28.6
recency + learning by testing,87,28.004
recency + learning by testing,88,29.384
recency + learning by testing,89,29.626
recency + learning by testing,90,29.072
recency + learning by testing,91,28.214
recency + learning by testing,92,27.432
recency + learning by testing,93,29.688
recency + learning by testing,94,29.298
recency + learning by testing,95,29.722
recency + learning by testing,96,27.808
recency + learning by testing,97,27.304
recency + learning by testing,98,27.09
recency + learning by testing,99,29.572
recency + learning by testing,100,28.936
recency + learning by testing,1,30.662
recency + learning by testing,1,31.042
recency + learning by testing,2,31.64
recency + learning by testing,3,35.148
recency + learning by testing,4,34.174
recency + learning by testing,5,28.232
recency + learning by testing,6,32.548
recency + learning by testing,7,31.248
recency + learning by testing,8,27.622
recency + learning by testing,9,28.518
recency + learning by testing,10,32.126
recency + learning by testing,11,30.026
recency + learning by testing,12,36.262
recency + learning by testing,13,31.124
recency + learning by testing,14,32.848
recency + learning by testing,15,33.694
recency + learning by testing,16,30.368
recency + learning by testing,17,33.96
recency + learning by testing,18,31.1
recency + learning by testing,19,33.0
recency + learning by testing,20,30.122
recency + learning by testing,21,28.386
recency + learning by testing,22,29.762
recency + learning by testing,23,32.74
recency + learning by testing,24,33.662
recency + learning by testing,25,31.846
recency + learning by testing,26,31.484
recency + learning by testing,27,28.996
recency + learning by testing,28,32.9
recency + learning by testing,29,31.282
recency + learning by testing,30,32.67
recency + learning by testing,31,30.144
recency + learning by testing,32,30.708
recency + learning by testing,33,28.996
recency + learning by testing,34,31.854
recency + learning by testing,35,28.014
recency + learning by testing,36,30.932
recency + learning by testing,37,30.03
recency + learning by testing,38,33.264
recency + learning by testing,39,31.782
recency + learning by testing,40,30.784
recency + learning by testing,41,33.214
recency + learning by testing,42,29.358
recency + learning by testing,43,29.464
recency + learning by testing,44,28.71
recency + learning by testing,45,29.936
recency + learning by testing,46,30.268
recency + learning by testing,47,31.388
recency + learning by testing,48,27.096
recency + learning by testing,49,30.516
recency + learning by testing,50,30.954
recency + learning by testing,51,30.844
recency + learning by testing,52,28.878
recency + learning by testing,53,30.976
recency + learning by testing,54,31.12
recency + learning by testing,55,31.676
recency + learning by testing,56,27.774
recency + learning by testing,57,29.302
recency + learning by testing,58,29.758
recency + learning by testing,59,28.772
recency + learning by testing,60,28.624
recency + learning by testing,61,27.168
recency + learning by testing,62,28.17
recency + learning by testing,63,28.204
recency + learning by testing,64,27.772
recency + learning by testing,65,28.668
recency + learning by testing,66,26.456
recency + learning by testing,67,29.428
recency + learning by testing,68,29.178
recency + learning by testing,69,31.626
recency + learning by testing,70,28.764
recency + learning by testing,71,31.394
recency + learning by testing,72,30.718
recency + learning by testing,73,29.272
recency + learning by testing,74,31.19
recency + learning by testing,75,28.246
recency + learning by testing,76,29.544
recency + learning by testing,77,30.968
recency + learning by testing,78,31.642
recency + learning by testing,79,26.35
recency + learning by testing,80,28.112
recency + learning by testing,81,27.934
recency + learning by testing,82,29.084
recency + learning by testing,83,28.066
recency + learning by testing,84,27.318
recency + learning by testing,85,30.4
recency + learning by testing,86,29.918
recency + learning by testing,87,28.522
recency + learning by testing,88,26.62
recency + learning by testing,89,26.666
recency + learning by testing,90,27.438
recency + learning by testing,91,27.744
recency + learning by testing,92,29.752
recency + learning by testing,93,28.54
recency + learning by testing,94,28.714
recency + learning by testing,95,28.212
recency + learning by testing,96,27.728
recency + learning by testing,97,27.496
recency + learning by testing,98,30.246
recency + learning by testing,99,25.856
recency + learning by testing,100,28.068
recency + learning by testing,1,33.722
recency + learning by testing,1,36.528
recency + learning by testing,2,31.794
recency + learning by testing,3,33.912
recency + learning by testing,4,34.034
recency + learning by testing,5,32.438
recency + learning by testing,6,30.24
recency + learning by testing,7,31.966
recency + learning by testing,8,32.678
recency + learning by testing,9,30.778
recency + learning by testing,10,29.544
recency + learning by testing,11,33.88
recency + learning by testing,12,30.374
recency + learning by testing,13,33.854
recency + learning by testing,14,29.324
recency + learning by testing,15,31.334
recency + learning by testing,16,31.026
recency + learning by testing,17,32.502
recency + learning by testing,18,30.014
recency + learning by testing,19,30.66
recency + learning by testing,20,31.904
recency + learning by testing,21,32.568
recency + learning by testing,22,29.26
recency + learning by testing,23,29.25
recency + learning by testing,24,29.066
recency + learning by testing,25,31.964
recency + learning by testing,26,28.154
recency + learning by testing,27,30.51
recency + learning by testing,28,29.954
recency + learning by testing,29,31.132
recency + learning by testing,30,29.974
recency + learning by testing,31,33.052
recency + learning by testing,32,28.296
recency + learning by testing,33,27.474
recency + learning by testing,34,30.4
recency + learning by testing,35,30.68
recency + learning by testing,36,29.508
recency + learning by testing,37,29.076
recency + learning by testing,38,29.75
recency + learning by testing,39,29.386
recency + learning by testing,40,27.518
recency + learning by testing,41,31.948
recency + learning by testing,42,30.188
recency + learning by testing,43,30.32
recency + learning by testing,44,28.664
recency + learning by testing,45,27.692
recency + learning by testing,46,32.34
recency + learning by testing,47,30.526
recency + learning by testing,48,32.92
recency + learning by testing,49,26.752
recency + learning by testing,50,28.026
recency + learning by testing,51,27.736
recency + learning by testing,52,31.024
recency + learning by testing,53,32.092
recency + learning by testing,54,29.23
recency + learning by testing,55,28.308
recency + learning by testing,56,31.356
recency + learning by testing,57,29.484
recency + learning by testing,58,32.896
recency + learning by testing,59,31.316
recency + learning by testing,60,27.324
recency + learning by testing,61,28.212
recency + learning by testing,62,27.506
recency + learning by testing,63,28.186
recency + learning by testing,64,29.62
recency + learning by testing,65,28.406
recency + learning by testing,66,31.078
recency + learning by testing,67,30.468
recency + learning by testing,68,30.26
recency + learning by testing,69,28.282
recency + learning by testing,70,27.36
recency + learning by testing,71,27.05
recency + learning by testing,72,29.388
recency + learning by testing,73,29.126
recency + learning by testing,74,30.22
recency + learning by testing,75,28.43
recency + learning by testing,76,29.05
recency + learning by testing,77,29.262
recency + learning by testing,78,28.654
recency + learning by testing,79,32.154
recency + learning by testing,80,30.72
recency + learning by testing,81,32.222
recency + learning by testing,82,28.99
recency + learning by testing,83,30.342
recency + learning by testing,84,27.68
recency + learning by testing,85,28.126
recency + learning by testing,86,27.852
recency + learning by testing,87,29.434
recency + learning by testing,88,25.778
recency + learning by testing,89,29.022
recency + learning by testing,90,27.106
recency + learning by testing,91,29.46
recency + learning by testing,92,27.816
recency + learning by testing,93,26.75
recency + learning by testing,94,27.514
recency + learning by testing,95,26.518
recency + learning by testing,96,29.362
recency + learning by testing,97,30.876
recency + learning by testing,98,26.788
recency + learning by testing,99,29.054
recency + learning by testing,100,27.84
recency + learning by testing,1,32.288
recency + learning by testing,1,30.26
recency + learning by testing,2,32.464
recency + learning by testing,3,28.556
recency + learning by testing,4,30.252
recency + learning by testing,5,32.54
recency + learning by testing,6,33.392
recency + learning by testing,7,34.032
recency + learning by testing,8,31.024
recency + learning by testing,9,28.996
recency + learning by testing,10,32.65
recency + learning by testing,11,31.23
recency + learning by testing,12,30.304
recency + learning by testing,13,34.41
recency + learning by testing,14,30.402
recency + learning by testing,15,29.96
recency + learning by testing,16,28.116
recency + learning by testing,17,30.468
recency + learning by testing,18,32.162
recency + learning by testing,19,31.354
recency + learning by testing,20,32.396
recency + learning by testing,21,28.498
recency + learning by testing,22,33.07
recency + learning by testing,23,30.578
recency + learning by testing,24,32.426
recency + learning by testing,25,32.828
recency + learning by testing,26,32.036
recency + learning by testing,27,32.3
recency + learning by testing,28,31.014
recency + learning by testing,29,29.03
recency + learning by testing,30,30.686
recency + learning by testing,31,35.33
recency + learning by testing,32,31.988
recency + learning by testing,33,31.318
recency + learning by testing,34,30.174
recency + learning by testing,35,29.504
recency + learning by testing,36,29.596
recency + learning by testing,37,30.488
recency + learning by testing,38,29.336
recency + learning by testing,39,29.62
recency + learning by testing,40,31.372
recency + learning by testing,41,31.772
recency + learning by testing,42,30.3
recency + learning by testing,43,28.528
recency + learning by testing,44,29.67
recency + learning by testing,45,30.044
recency + learning by testing,46,28.868
recency + learning by testing,47,29.086
recency + learning by testing,48,29.416
recency + learning by testing,49,31.126
recency + learning by testing,50,31.066
recency + learning by testing,51,30.5
recency + learning by testing,52,30.202
recency + learning by testing,53,29.34
recency + learning by testing,54,29.496
recency + learning by testing,55,31.026
recency + learning by testing,56,30.018
recency + learning by testing,57,30.484
recency + learning by testing,58,28.14
recency + learning by testing,59,30.506
recency + learning by testing,60,27.148
recency + learning by testing,61,30.5
recency + learning by testing,62,28.0
recency + learning by testing,63,30.904
recency + learning by testing,64,30.576
recency + learning by testing,65,31.226
recency + learning by testing,66,27.722
recency + learning by testing,67,30.974
recency + learning by testing,68,30.604
recency + learning by testing,69,30.026
recency + learning by testing,70,29.23
recency + learning by testing,71,31.694
recency + learning by testing,72,29.552
recency + learning by testing,73,26.78
recency + learning by testing,74,29.938
recency + learning by testing,75,29.41
recency + learning by testing,76,30.66
recency + learning by testing,77,29.074
recency + learning by testing,78,29.304
recency + learning by testing,79,28.862
recency + learning by testing,80,28.926
recency + learning by testing,81,30.164
recency + learning by testing,82,27.63
recency + learning by testing,83,29.208
recency + learning by testing,84,32.224
recency + learning by testing,85,27.446
recency + learning by testing,86,27.946
recency + learning by testing,87,28.106
recency + learning by testing,88,27.048
recency + learning by testing,89,29.854
recency + learning by testing,90,27.114
recency + learning by testing,91,27.49
recency + learning by testing,92,26.782
recency + learning by testing,93,30.046
recency + learning by testing,94,27.228
recency + learning by testing,95,27.78
recency + learning by testing,96,28.564
recency + learning by testing,97,29.8
recency + learning by testing,98,26.426
recency + learning by testing,99,27.494
recency + learning by testing,100,26.518
recency + learning by testing,1,31.994
recency + learning by testing,1,31.488
recency + learning by testing,2,29.828
recency + learning by testing,3,31.25
recency + learning by testing,4,34.706
recency + learning by testing,5,32.222
recency + learning by testing,6,29.916
recency + learning by testing,7,30.178
recency + learning by testing,8,31.73
recency + learning by testing,9,29.226
recency + learning by testing,10,28.844
recency + learning by testing,11,31.6
recency + learning by testing,12,30.068
recency + learning by testing,13,30.428
recency + learning by testing,14,31.582
recency + learning by testing,15,33.02
recency + learning by testing,16,29.626
recency + learning by testing,17,31.718
recency + learning by testing,18,32.556
recency + learning by testing,19,30.874
recency + learning by testing,20,30.026
recency + learning by testing,21,31.792
recency + learning by testing,22,29.39
recency + learning by testing,23,28.416
recency + learning by testing,24,29.438
recency + learning by testing,25,29.246
recency + learning by testing,26,28.87
recency + learning by testing,27,30.516
recency + learning by testing,28,27.622
recency + learning by testing,29,28.174
recency + learning by testing,30,31.884
recency + learning by testing,31,31.308
recency + learning by testing,32,30.212
recency + learning by testing,33,30.972
recency + learning by testing,34,33.502
recency + learning by testing,35,29.53
recency + learning by testing,36,29.968
recency + learning by testing,37,29.016
recency + learning by testing,38,33.016
recency + learning by testing,39,29.984
recency + learning by testing,40,26.8
recency + learning by testing,41,28.104
recency + learning by testing,42,31.058
recency + learning by testing,43,27.198
recency + learning by testing,44,27.716
recency + learning by testing,45,30.108
recency + learning by testing,46,29.412
recency + learning by testing,47,32.17
recency + learning by testing,48,31.122
recency + learning by testing,49,27.44
recency + learning by testing,50,30.642
recency + learning by testing,51,27.412
recency + learning by testing,52,29.816
recency + learning by testing,53,29.04
recency + learning by testing,54,30.166
recency + learning by testing,55,26.636
recency + learning by testing,56,29.092
recency + learning by testing,57,29.698
recency + learning by testing,58,28.458
recency + learning by testing,59,29.602
recency + learning by testing,60,30.976
recency + learning by testing,61,27.994
recency + learning by testing,62,26.13
recency + learning by testing,63,27.644
recency + learning by testing,64,28.996
recency + learning by testing,65,27.336
recency + learning by testing,66,29.952
recency + learning by testing,67,28.962
recency + learning by testing,68,29.87
recency + learning by testing,69,26.742
recency + learning by testing,70,29.276
recency + learning by testing,71,30.336
recency + learning by testing,72,28.546
recency + learning by testing,73,28.424
recency + learning by testing,74,26.94
recency + learning by testing,75,27.128
recency + learning by testing,76,27.378
recency + learning by testing,77,28.308
recency + learning by testing,78,28.298
recency + learning by testing,79,26.754
recency + learning by testing,80,30.972
recency + learning by testing,81,30.952
recency + learning by testing,82,28.676
recency + learning by testing,83,28.646
recency + learning by testing,84,27.982
recency + learning by testing,85,29.866
recency + learning by testing,86,28.74
recency + learning by testing,87,29.3
recency + learning by testing,88,29.924
recency + learning by testing,89,28.378
recency + learning by testing,90,28.208
recency + learning by testing,91,28.494
recency + learning by testing,92,29.58
recency + learning by testing,93,27.06
recency + learning by testing,94,28.518
recency + learning by testing,95,28.06
recency + learning by testing,96,27.914
recency + learning by testing,97,28.448
recency + learning by testing,98,27.392
recency + learning by testing,99,27.402
recency + learning by testing,100,26.748
recency + learning by testing,1,33.448
recency + learning by testing,1,30.922
recency + learning by testing,2,32.224
recency + learning by testing,3,30.052
recency + learning by testing,4,33.142
recency + learning by testing,5,33.058
recency + learning by testing,6,28.68
recency + learning by testing,7,28.578
recency + learning by testing,8,28.884
recency + learning by testing,9,31.83
recency + learning by testing,10,29.224
recency + learning by testing,11,30.7
recency + learning by testing,12,29.152
recency + learning by testing,13,33.252
recency + learning by testing,14,33.538
recency + learning by testing,15,27.274
recency + learning by testing,16,30.056
recency + learning by testing,17,31.302
recency + learning by testing,18,30.206
recency + learning by testing,19,29.69
recency + learning by testing,20,29.504
recency + learning by testing,21,30.756
recency + learning by testing,22,28.128
recency + learning by testing,23,29.152
recency + learning by testing,24,31.184
recency + learning by testing,25,31.262
recency + learning by testing,26,28.96
recency + learning by testing,27,29.35
recency + learning by testing,28,30.004
recency + learning by testing,29,29.32
recency + learning by testing,30,28.498
recency + learning by testing,31,28.074
recency + learning by testing,32,26.934
recency + learning by testing,33,29.73
recency + learning by testing,34,26.49
recency + learning by testing,35,27.386
recency + learning by testing,36,29.308
recency + learning by testing,37,27.86
recency + learning by testing,38,27.732
recency + learning by testing,39,30.088
recency + learning by testing,40,25.57
recency + learning by testing,41,26.438
recency + learning by testing,42,27.114
recency + learning by testing,43,29.706
recency + learning by testing,44,29.184
recency + learning by testing,45,27.506
recency + learning by testing,46,29.904
recency + learning by testing,47,29.19
recency + learning by testing,48,29.442
recency + learning by testing,49,31.324
recency + learning by testing,50,31.514
recency + learning by testing,51,28.678
recency + learning by testing,52,28.386
recency + learning by testing,53,28.17
recency + learning by testing,54,26.274
recency + learning by testing,55,30.702
