step,avg_violations,min_violations,homogeneity,network,seed
1,63.258947368421055,45,0.5221052631578948,Congress Twitter,42
2,63.23157894736842,45,0.5219368421052633,Congress Twitter,42
3,63.216842105263154,45,0.5217684210526317,Congress Twitter,42
4,63.07578947368421,45,0.522021052631579,Congress Twitter,42
5,62.8,45,0.5220210526315792,Congress Twitter,42
6,62.55157894736842,45,0.5234105263157894,Congress Twitter,42
7,62.24,45,0.5247999999999998,Congress Twitter,42
8,61.86105263157895,45,0.5274105263157893,Congress Twitter,42
9,61.410526315789475,44,0.5305263157894737,Congress Twitter,42
10,61.09684210526316,44,0.5328421052631579,Congress Twitter,42
11,60.76,39,0.5355789473684209,Congress Twitter,42
12,60.265263157894736,39,0.538357894736842,Congress Twitter,42
13,59.85263157894737,37,0.5412631578947367,Congress Twitter,42
14,59.410526315789475,37,0.5445894736842104,Congress Twitter,42
15,59.03578947368421,38,0.5474526315789473,Congress Twitter,42
16,58.71157894736842,38,0.5500210526315789,Congress Twitter,42
17,58.322105263157894,38,0.5541052631578947,Congress Twitter,42
18,57.8421052631579,37,0.557221052631579,Congress Twitter,42
19,57.42526315789474,36,0.561221052631579,Congress Twitter,42
20,57.107368421052634,35,0.5646315789473683,Congress Twitter,42
21,56.62315789473684,33,0.5686736842105264,Congress Twitter,42
22,56.17263157894737,33,0.5718736842105262,Congress Twitter,42
23,55.705263157894734,33,0.5749473684210527,Congress Twitter,42
24,55.22736842105263,34,0.5785263157894737,Congress Twitter,42
25,54.863157894736844,35,0.5811368421052631,Congress Twitter,42
26,54.36421052631579,33,0.5845894736842105,Congress Twitter,42
27,53.97263157894737,33,0.5870736842105262,Congress Twitter,42
28,53.59368421052631,33,0.5893052631578946,Congress Twitter,42
29,53.17894736842105,33,0.5931368421052631,Congress Twitter,42
30,52.810526315789474,32,0.597178947368421,Congress Twitter,42
31,52.39368421052632,29,0.6008,Congress Twitter,42
32,52.025263157894734,29,0.6031157894736842,Congress Twitter,42
33,51.682105263157894,27,0.6058526315789472,Congress Twitter,42
